         34014 function calls (32967 primitive calls) in 0.012 seconds

   Ordered by: cumulative time
   List reduced from 171 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 project_dependencies.py:21(assemble_dependencies)
        1    0.001    0.001    0.012    0.012 project_dependencies.py:29(_assemble_dependencies)
       15    0.000    0.000    0.004    0.000 ast.py:34(parse)
       15    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
       15    0.000    0.000    0.002    0.000 project_dependencies.py:356(dependency_imports)
   765/15    0.001    0.000    0.002    0.000 project_dependencies.py:360(visit)
        1    0.000    0.000    0.001    0.001 project_dependencies.py:234(dependency_files)
     2385    0.001    0.000    0.001    0.000 ast.py:269(iter_child_nodes)
       20    0.000    0.000    0.001    0.000 pathlib.py:663(relative_to)
      375    0.000    0.000    0.001    0.000 pathlib.py:551(drive)
      383    0.000    0.000    0.001    0.000 pathlib.py:437(__str__)
      457    0.000    0.000    0.001    0.000 pathlib.py:380(with_segments)
      117    0.000    0.000    0.001    0.000 pathlib.py:837(stat)
      117    0.000    0.000    0.001    0.000 {built-in method posix.stat}
      202    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
      132    0.000    0.000    0.001    0.000 pathlib.py:447(__fspath__)
      261    0.000    0.000    0.001    0.000 pathlib.py:420(_from_parsed_parts)
      500    0.000    0.000    0.001    0.000 pathlib.py:1159(__init__)
    10230    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
    45/43    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      174    0.000    0.000    0.001    0.000 <frozen _collections_abc>:1022(__iter__)
       35    0.000    0.000    0.001    0.000 project_dependencies.py:190(<genexpr>)
      126    0.000    0.000    0.001    0.000 pathlib.py:731(parent)
      155    0.000    0.000    0.001    0.000 pathlib.py:276(__getitem__)
      202    0.000    0.000    0.001    0.000 pathlib.py:387(_parse_path)
      500    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
       51    0.000    0.000    0.000    0.000 pathlib.py:888(is_file)
       46    0.000    0.000    0.000    0.000 pathlib.py:872(is_dir)
       20    0.000    0.000    0.000    0.000 pathlib.py:690(is_relative_to)
     2552    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
        5    0.000    0.000    0.000    0.000 project_analysis.py:30(owns)
      117    0.000    0.000    0.000    0.000 pathlib.py:719(__truediv__)
        1    0.000    0.000    0.000    0.000 text_index.py:379(_walk_rel_files)
      117    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      381    0.000    0.000    0.000    0.000 pathlib.py:484(_str_normcase)
      155    0.000    0.000    0.000    0.000 pathlib.py:519(__eq__)
        1    0.000    0.000    0.000    0.000 project_dependencies.py:46(<genexpr>)
      174    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       19    0.000    0.000    0.000    0.000 pathlib.py:780(match)
       19    0.000    0.000    0.000    0.000 <frozen _collections_abc>:1032(__contains__)
       15    0.000    0.000    0.000    0.000 tokenize.py:445(open)
      432    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
       19    0.000    0.000    0.000    0.000 <frozen posixpath>:509(relpath)
       38    0.000    0.000    0.000    0.000 pathlib.py:505(_lines)


